"Date","Amount"
"20/07/2026","366.67"
"19/06/2026","366.67"
"19/05/2026","366.67"
"19/05/2026","-366.67"
"19/05/2026","366.67"
"20/04/2026","366.67"
"19/03/2026","366.67"
"19/02/2026","366.67"
"19/01/2026","366.67"
"19/12/2025","366.67"
"19/11/2025","366.67"
"20/10/2025","366.67"
"19/09/2025","366.67"
"19/08/2025","366.67"
"21/07/2025","366.67"
"19/06/2025","366.67"
"19/05/2025","366.67"
"22/04/2025","366.67"
"19/03/2025","366.67"
"19/02/2025","366.67"
"20/01/2025","366.67"
"19/12/2024","366.67"
"19/11/2024","366.67"
"21/10/2024","366.67"
"19/09/2024","366.67"
"19/08/2024","366.67"
"19/07/2024","366.67"
"19/06/2024","366.67"
"20/05/2024","366.67"
"19/04/2024","366.67"
"19/03/2024","366.67"
"19/02/2024","366.67"
"19/01/2024","366.67"
"19/12/2023","366.67"
"01/11/2023","1466.67"
